objID,raMean,decMean,raMeanErr,decMeanErr,qualityFlag,gMeanPSFMag,gMeanPSFMagErr,gMeanPSFMagNpt,rMeanPSFMag,rMeanPSFMagErr,rMeanPSFMagNpt,iMeanPSFMag,iMeanPSFMagErr,iMeanPSFMagNpt,zMeanPSFMag,zMeanPSFMagErr,zMeanPSFMagNpt,yMeanPSFMag,yMeanPSFMagErr,yMeanPSFMagNpt,gMeanApMag,gMeanApMagErr,gMeanApMagNpt,rMeanApMag,rMeanApMagErr,rMeanApMagNpt,iMeanApMag,iMeanApMagErr,iMeanApMagNpt,zMeanApMag,zMeanApMagErr,zMeanApMagNpt,yMeanApMag,yMeanApMagErr,yMeanApMagNpt,rMeanKronMag,rMeanKronMagErr,nDetections,ng,nr,ni,nz,ny,gFlags,gQfPerfect,rFlags,rQfPerfect,iFlags,iQfPerfect,zFlags,zQfPerfect,yFlags,yQfPerfect,primaryDetection,bestDetection
108510157404347837,15.74042815,0.43112904,0.00365000008605421,0.00343000004068017,52,19.8006992340088,0.0282460004091263,8,19.2996006011963,0.00810999982059002,16,19.0725994110107,0.00761200021952391,21,18.9846000671387,0.0187740009278059,11,18.9272003173828,0.0329539999365807,9,19.7651996612549,0.0286580007523298,9,19.2945995330811,0.0179169997572899,17,19.076099395752,0.00968500040471554,21,18.9752006530762,0.016745999455452,11,18.9290008544922,0.0584199987351894,9,19.3887004852295,0.0228899996727705,81,11,18,28,12,12,115000,0.999566972255707,115000,0.999199986457825,115000,0.999280989170074,115000,0.999597012996674,115000,0.999638020992279,1,1
107700161914637510,16.1915105,-0.24416596,0.0123800002038479,0.00588000006973743,60,14.2870998382568,0.00111900002229959,7,13.9306001663208,0.00910000037401915,9,13.8106002807617,0.00140800001099706,6,13.7901000976563,0.0037750001065433,10,13.7684001922607,0.00272099999710917,9,14.282600402832,0.00185600004624575,11,13.9117002487183,0.00777899986132979,11,13.7889995574951,0.00338099990040064,9,13.789400100708,0.0025069999974221,13,13.7662000656128,0.00149599998258054,12,13.9663000106812,0.0035349999088794,92,16,22,24,14,16,115000,0.999616980552673,115000,0.999700009822845,16892216,0.999417006969452,115000,0.998777985572815,115000,0.999279022216797,1,1
107360165127401928,16.51276711,-0.53207875,0.00246999994851649,0.00264000007882714,60,19.2959995269775,0.0158590003848076,10,18.0918006896973,0.00541200023144484,16,17.3565006256104,0.00325100007466972,16,17.0321006774902,0.00388900004327297,14,16.8432998657227,0.00710699986666441,9,19.3379001617432,0.0115280002355576,10,18.0930995941162,0.00504900002852082,20,17.360200881958,0.00349600007757545,16,17.0301990509033,0.00321200001053512,14,16.8575992584229,0.0156410001218319,10,18.1746006011963,0.0106790000572801,73,12,21,16,14,10,115000,0.999644994735718,115000,0.999692976474762,115000,0.998917996883392,115000,0.99966698884964,115000,0.999616026878357,1,1
107360165549681895,16.554983,-0.53210423,0.00200999993830919,0.00328999990597367,60,18.4549999237061,0.00800700020045042,14,17.2224998474121,0.00416099978610873,16,16.3661003112793,0.00269200000911951,18,15.9934997558594,0.00287299999035895,13,15.7981004714966,0.00736999977380037,8,18.4622001647949,0.00637499988079071,14,17.2231998443604,0.00337600009515882,17,16.3700008392334,0.00186600000597537,20,15.9914999008179,0.00231399992480874,14,15.7820997238159,0.00746200000867248,9,17.3022994995117,0.00471299979835749,75,14,18,20,14,9,115000,0.99965101480484,115000,0.999765992164612,115000,0.999235987663269,115000,0.999809980392456,115000,0.999282002449036,1,1
107680162753969086,16.27546928,-0.25945938,0.0186000000685453,0.00618000002577901,60,14.3538999557495,0.0057760002091527,8,14.1146001815796,0.00330900005064905,12,14.022500038147,0.00299499998800457,7,14.032600402832,0.00100299995392561,16,14.0165004730225,0.00597500009462237,12,14.3458003997803,0.00201499997638166,10,14.1026000976563,0.00430200016126037,17,14.0144996643066,0.000691000022925437,10,14.0305004119873,0.00148199999239296,20,14.0235996246338,0.00228399992920458,14,14.154899597168,0.00396900018677115,91,12,23,21,21,14,115000,0.999711990356445,115000,0.999684989452362,16892216,0.999598026275635,115000,0.999260008335114,115000,0.999704003334045,1,1
107990161052707002,16.10531637,-0.00294074,0.00365000008605421,0.00589000014588237,60,17.0375003814697,0.0046080001629889,5,16.2684993743896,0.00176200002897531,15,15.9602003097534,0.00411800015717745,11,15.8430004119873,0.00289099989458919,9,15.7578001022339,0.00584199978038669,6,17.0429000854492,0.00397300021722913,6,16.2684993743896,0.00288500008173287,19,15.9586000442505,0.00182300002779812,12,15.8444995880127,0.00373100000433624,10,15.7440996170044,0.00497600017115474,6,16.3302993774414,0.00299599999561906,63,6,20,18,11,8,115000,0.999360024929047,115000,0.999719977378845,115000,0.999705970287323,115000,0.999019026756287,115000,0.999688029289246,1,1
107970155634736345,15.56350152,-0.02012064,0.00510000018402934,0.00975999981164932,60,18.4008007049561,0.00513300020247698,15,17.570499420166,0.00268199993297458,24,17.1881999969482,0.00238900003023446,30,17.0277996063232,0.00489499978721142,15,16.9083003997803,0.00776199996471405,11,18.4048004150391,0.00844800006598234,15,17.5606994628906,0.00248700007796288,26,17.1809005737305,0.00205100001767278,34,17.0286998748779,0.00543300015851855,15,16.8929996490479,0.0115360002964735,11,17.6410007476807,0.00545099982991815,106,16,28,34,15,13,115000,0.999343991279602,115000,0.999783992767334,115000,0.999696016311646,115000,0.999014019966125,115000,0.999481976032257,1,1
108180162220187347,16.22205823,0.15573276,0.00559000018984079,0.00264000007882714,52,19.7166004180908,0.0124890003353357,10,19.1877994537354,0.00733899977058172,16,18.9613990783691,0.00933900009840727,15,18.8957004547119,0.0143799996003509,13,18.8087005615234,0.0368949994444847,13,19.74169921875,0.0167529992759228,10,19.173900604248,0.0112549997866154,16,18.9598007202148,0.0128039997071028,15,18.8878002166748,0.0197599995881319,13,18.7646007537842,0.0420040003955364,13,19.2779006958008,0.0127029996365309,70,10,16,18,13,13,115000,0.999661028385162,115000,0.998911023139954,115000,0.999215006828308,115000,0.999357998371124,115000,0.99925297498703,1,1
107560162642928651,16.26440349,-0.35982407,0.0109400004148483,0.00657999981194735,60,19.9500007629395,0.0171840004622936,11,18.6781997680664,0.0062049999833107,17,17.8703002929688,0.0052620000205934,11,17.5002994537354,0.00379200000315905,11,17.3045997619629,0.0108179999515414,9,19.9867000579834,0.0572010017931461,12,18.7036991119385,0.00785700045526028,21,17.8868007659912,0.00536900013685226,12,17.5,0.0100079998373985,11,17.2835998535156,0.01486000046134,10,18.7870006561279,0.0120219998061657,73,13,24,13,12,11,115000,0.999534010887146,115000,0.99967098236084,115000,0.999707996845245,115000,0.999688982963562,115000,0.998812973499298,1,1
106670156924564306,15.69253188,-1.10515021,0.00334999989718199,0.00389999989420176,60,15.147500038147,0.0074350000359118,9,14.6547002792358,0.00203200010582805,12,14.458399772644,0.00308699999004602,10,14.3865995407104,0.00249399989843369,9,14.3376998901367,0.00375499995425344,10,15.1318998336792,0.00264699989929795,10,14.6449003219604,0.00432500010356307,18,14.4541997909546,0.00134099996648729,14,14.3858003616333,0.00158399995416403,12,14.3306999206543,0.00396199990063906,12,14.7005996704102,0.0050459997728467,79,14,19,20,12,14,115000,0.999312996864319,115000,0.999149024486542,115000,0.999457001686096,115000,0.999598979949951,115000,0.999134004116058,1,1
